id;name;qr_code;bar_code;expiration_date;quantity;purchase_price;purchase_date;warehouse_id
1;appliance gulp velvety;longingly encouragement;ruin rusty lock;2026-04-18;21733;29136.27;2026-04-18;1
2;tenderly gently;instead;next excitable absent;2026-04-18;28030;22858.32;2026-04-17;2
3;costume;pish devoted;abaft barring;2026-04-18;17396;23787.91;2026-04-18;3
4;expostulate;drat before;phew;2026-04-18;21409;17731.81;2026-04-18;4
5;unsightly cleverly;fidget scared;than lock familiar;2026-04-18;21403;9690.46;2026-04-18;5
6;apparatus;somber even;though dependency maul;2026-04-18;30305;16589.34;2026-04-18;6
7;drat closed;ack cinder;once merrily;2026-04-17;1672;17279.23;2026-04-18;7
8;cutover;silk publicize fundraising;sadly mockingly hypothesise;2026-04-17;22742;14380.94;2026-04-17;8
9;store book sparkling;uh-huh;among duh bah;2026-04-17;427;32464.21;2026-04-18;9
10;arbitrate;fortunate and;ouch gnash;2026-04-18;14541;24494.06;2026-04-18;10
