id;name;description;preparation_time;calories
1;whitewash plump important;../fake-data/blob/hipster.txt;24328;18105
2;geez which exactly;../fake-data/blob/hipster.txt;12264;29314
3;battle bouncy who;../fake-data/blob/hipster.txt;24141;28242
4;bah;../fake-data/blob/hipster.txt;840;14020
5;ick thrifty slide;../fake-data/blob/hipster.txt;26708;10034
6;access;../fake-data/blob/hipster.txt;20159;627
7;cheerfully calmly if;../fake-data/blob/hipster.txt;23967;15531
8;fraternise unfortunate intent;../fake-data/blob/hipster.txt;27385;569
9;viability;../fake-data/blob/hipster.txt;10836;26251
10;abaft with sock;../fake-data/blob/hipster.txt;23568;32328
