id;name;address;contact;website;supplier_type
1;gadzooks;configuration so;bony;on pfft yet;FREELANCE
2;but;drat;exhausted tired construe;though when;FREELANCE
3;packaging;behind;fooey;of brr;FREELANCE
4;give mobilise;between;whereas vice since;as finally;SUPERMARKET
5;up intently;bleak that;from amid junior;ew;SUPERMARKET
6;hmph eek;bleakly straw lest;battle intent alive;well-to-do;SUPERMARKET
7;solidly;at galoshes;apropos or immediate;though;FREELANCE
8;anti yak;notwithstanding;repeatedly boohoo supposing;hmph reward;FREELANCE
9;accidentally;including alongside total;while bog that;outrun forenenst shyly;SUPERMARKET
10;defiantly but coast;skyscraper;including anenst;velocity;FREELANCE
